sector.name,subsector.name0,subsector.name,year,input.OM.var,OM.var,technology
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,biomass,biomass_base_conv,1990,OM-var,1.29,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,1990,OM-var,1.29,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,1990,OM-var,1.29,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,1990,OM-var,1.29,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,1990,OM-var,1.29,biomass (conv) (dry cooling)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-var,3.96,biomass (conv CCS) (once through)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-var,3.96,biomass (conv CCS) (seawater)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-var,3.96,biomass (conv CCS) (recirculating)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-var,3.96,biomass (conv CCS) (dry cooling)
base load generation,biomass,biomass_base_IGCC,1990,OM-var,3.05,biomass (IGCC) (once through)
base load generation,biomass,biomass_base_IGCC,1990,OM-var,3.05,biomass (IGCC) (seawater)
base load generation,biomass,biomass_base_IGCC,1990,OM-var,3.05,biomass (IGCC) (recirculating)
base load generation,biomass,biomass_base_IGCC,1990,OM-var,3.05,biomass (IGCC) (dry cooling)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-var,5.98,biomass (IGCC CCS) (once through)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-var,5.98,biomass (IGCC CCS) (seawater)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-var,5.98,biomass (IGCC CCS) (recirculating)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-var,5.98,biomass (IGCC CCS) (dry cooling)
base load generation,coal,coal_base_conv pul,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-var,3.74,coal (conv pul CCS) (once through)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-var,3.74,coal (conv pul CCS) (seawater)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-var,3.74,coal (conv pul CCS) (recirculating)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-var,3.74,coal (conv pul CCS) (dry cooling)
base load generation,coal,coal_base_IGCC,1990,OM-var,3.87,coal (IGCC) (once through)
base load generation,coal,coal_base_IGCC,1990,OM-var,3.87,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,1990,OM-var,3.87,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,1990,OM-var,3.87,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-var,5.76,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-var,5.76,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-var,5.76,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-var,5.76,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,1990,OM-var,0.47,gas (CC) (once through)
base load generation,gas,gas_base_CC,1990,OM-var,0.47,gas (CC) (seawater)
