sector.name,subsector.name0,subsector.name,year,input.OM.fixed,OM.fixed,technology
base load generation,coal,coal_base_conv pul 1951-1955,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1951-1955,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1951-1955,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1951-1955,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1956-1960,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1956-1960,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1956-1960,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1956-1960,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1956-1960,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1961-1965,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1961-1965,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1961-1965,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1961-1965,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1961-1965,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1966-1970,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1966-1970,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1966-1970,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1966-1970,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1966-1970,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1971-1975,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1971-1975,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1971-1975,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1971-1975,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1971-1975,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1976-1980,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1976-1980,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1976-1980,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
